iter	Logloss
0	0.6878664252
1	0.6819794901
2	0.6761483182
3	0.6710273657
4	0.6658193181
5	0.6602123989
6	0.6553912216
7	0.6524437036
8	0.6476433572
9	0.6426983094
10	0.6374096388
11	0.6325219401
12	0.6276438852
13	0.6230276729
14	0.6183570262
15	0.6145626454
16	0.6121601576
17	0.6081447816
18	0.6045687815
19	0.600610283
20	0.596673344
21	0.592454546
22	0.5891914368
23	0.5859993495
24	0.5826238139
25	0.580028834
26	0.5767713397
27	0.5735764236
28	0.5716824478
29	0.5680063226
30	0.5652236938
31	0.5631809449
32	0.5601918938
33	0.5582894743
34	0.555039738
35	0.5521878875
36	0.5489981148
37	0.5464086211
38	0.5436339646
39	0.5409239008
40	0.5386725865
41	0.5366987593
42	0.5337556989
43	0.5314747671
44	0.5287875915
45	0.5261396772
46	0.5235649709
47	0.5209954937
48	0.518983048
49	0.5164299868
50	0.5142575382
51	0.5131449753
52	0.5113275935
53	0.5092052503
54	0.5074239152
55	0.505409155
56	0.5037026566
57	0.5016769238
58	0.4996670927
59	0.497652461
60	0.4962915999
61	0.4950342071
62	0.4936406853
63	0.4917665117
64	0.4904177805
65	0.4886304877
66	0.4867771449
67	0.4860043472
68	0.4847668423
69	0.4830302978
70	0.4815330077
71	0.4799136473
72	0.4785595154
73	0.4770332079
74	0.4756803191
75	0.4743433749
76	0.4729850855
77	0.4715054544
78	0.4702744216
79	0.4688496965
80	0.467376709
81	0.4662440868
82	0.4647404531
83	0.4638553148
84	0.462405044
85	0.4611055181
86	0.4597347131
87	0.4582090056
88	0.4573005933
89	0.4560545161
90	0.4547927514
91	0.4540548003
92	0.4528503418
93	0.4522198023
94	0.4511869623
95	0.4506325454
96	0.4495040808
97	0.4487848603
98	0.4477786804
99	0.4466786331
100	0.4457759643
101	0.4447743705
102	0.4440031587
103	0.4432597643
104	0.4423090903
105	0.4415617525
106	0.4407802968
107	0.4401856326
108	0.4393271114
109	0.4385294539
110	0.4379706222
111	0.4371871091
112	0.4363919376
113	0.435640828
114	0.4347691911
115	0.4344764881
116	0.433943502
117	0.43318292
118	0.4324467691
119	0.4319180264
120	0.4316309382
121	0.4309901977
122	0.4303595725
123	0.429598519
124	0.429086278
125	0.4285829523
126	0.4278629174
127	0.4273414183
128	0.4267062927
129	0.426142789
130	0.4254728596
131	0.4250516141
132	0.4245239858
133	0.4241106269
134	0.4233761905
135	0.4228607778
136	0.4222376105
137	0.4217498008
138	0.421322769
139	0.4210971018
140	0.4203571362
141	0.4199318189
142	0.4193931751
143	0.4188251281
144	0.4183684788
145	0.4180688751
146	0.4176502013
147	0.4169429822
148	0.4168028671
149	0.4162951694
150	0.4158409633
151	0.415434248
152	0.414979056
153	0.4145211209
154	0.4143065549
155	0.4140132947
156	0.413602979
157	0.4130892807
158	0.4129210911
159	0.4126669637
160	0.4125277487
161	0.4120971165
162	0.4116710706
163	0.4114899367
164	0.4110903794
165	0.4106692196
166	0.4105253755
167	0.4103096094
168	0.4098822776
169	0.4097620932
170	0.4095456413
171	0.4094051404
172	0.4091106801
173	0.4086626031
174	0.4084324355
175	0.408057395
176	0.4076999707
177	0.4074697173
